파이디아     한국사회적기업 진흥원 선정
오디에스     한국사회적기업 진흥원 선정
순흥초군농악보존회     한국사회적기업 진흥원 선정
백암온천마을영농조합법인     한국사회적기업 진흥원 선정
두드림     한국사회적기업 진흥원 선정
나눔스토어     한국사회적기업 진흥원 선정
가든프로젝트     한국사회적기업 진흥원 선정
복지유니온     한국사회적기업 진흥원 선정
세상을움직이는힘세움카페     한국사회적기업 진흥원 선정
모씨네사회적협동조합     한국사회적기업 진흥원 선정
장애인장학사업장     한국사회적기업 진흥원 선정
한신플러스케어     한국사회적기업 진흥원 선정
한라환경     한국사회적기업 진흥원 선정
도우누리     한국사회적기업 진흥원 선정
유한회사무균지대     한국사회적기업 진흥원 선정
다솜빛가람장애인시설     한국사회적기업 진흥원 선정
부암뮤직소사이어티     한국사회적기업 진흥원 선정
오픈컬리지     한국사회적기업 진흥원 선정
빅이슈코리아     한국사회적기업 진흥원 선정
하남크린     한국사회적기업 진흥원 선정
행복나눔     한국사회적기업 진흥원 선정
사회복지법인손과손사업단예림일터     한국사회적기업 진흥원 선정
스포이즘     한국사회적기업 진흥원 선정
농업회사법인싸주아리     한국사회적기업 진흥원 선정
전국독서새물결모임     한국사회적기업 진흥원 선정
사복)신애재활원신애직업재활원     한국사회적기업 진흥원 선정
조물조물에코     한국사회적기업 진흥원 선정
청산     한국사회적기업 진흥원 선정
유한회사거창행복나눔복지센터     한국사회적기업 진흥원 선정
누리     한국사회적기업 진흥원 선정
편안한집     한국사회적기업 진흥원 선정
디오오케스트라     한국사회적기업 진흥원 선정
에덴영농     한국사회적기업 진흥원 선정
유한회사상우산업개발     한국사회적기업 진흥원 선정
조은프로소싱     한국사회적기업 진흥원 선정
행복나래     한국사회적기업 진흥원 선정
한국시각장애인연합회한국웹접근성평가센터     한국사회적기업 진흥원 선정
여주시주거복지센터     한국사회적기업 진흥원 선정
우리비젼     한국사회적기업 진흥원 선정
아트커뮤니티아비투스     한국사회적기업 진흥원 선정
아인     한국사회적기업 진흥원 선정
서광티에스     한국사회적기업 진흥원 선정
푸른세상     한국사회적기업 진흥원 선정
사회복지법인아그네스복지재단행복     한국사회적기업 진흥원 선정
참다올푸드     한국사회적기업 진흥원 선정
커스프     한국사회적기업 진흥원 선정
사회적협동조합동행     한국사회적기업 진흥원 선정
글로벌리더십센터     한국사회적기업 진흥원 선정
한산모시조합     한국사회적기업 진흥원 선정
양원농장농업회사법인     한국사회적기업 진흥원 선정
희망키움     한국사회적기업 진흥원 선정
페넥스     한국사회적기업 진흥원 선정
유한회사마이크린     한국사회적기업 진흥원 선정
국민종합주택관리     한국사회적기업 진흥원 선정
속초시응골딸기영농조합법인     한국사회적기업 진흥원 선정
돌봄세상     한국사회적기업 진흥원 선정
새누리기획사회적협동조합     한국사회적기업 진흥원 선정
희망나눔사회적협동조합     한국사회적기업 진흥원 선정
현대에프앤비     한국사회적기업 진흥원 선정
재단법인행복그린넷     한국사회적기업 진흥원 선정
새노리     한국사회적기업 진흥원 선정
천등산보호작업장     한국사회적기업 진흥원 선정
돌봄사회서비스센터     한국사회적기업 진흥원 선정
행복한교육총연합회     한국사회적기업 진흥원 선정
남영이앤아이     한국사회적기업 진흥원 선정
마당극패우금치     한국사회적기업 진흥원 선정
새암     한국사회적기업 진흥원 선정
두꺼비하우징     한국사회적기업 진흥원 선정
케이앤씨가람     한국사회적기업 진흥원 선정
남구재활용센터     한국사회적기업 진흥원 선정
맑은기업     한국사회적기업 진흥원 선정
솔내음     한국사회적기업 진흥원 선정
서해종합관리     한국사회적기업 진흥원 선정
아가페     한국사회적기업 진흥원 선정
한국공예전승협회     한국사회적기업 진흥원 선정
선문그린존     한국사회적기업 진흥원 선정
미항주거복지센터     한국사회적기업 진흥원 선정
수레인보우협동조합     한국사회적기업 진흥원 선정
나무애그림     한국사회적기업 진흥원 선정
농터     한국사회적기업 진흥원 선정
해풍영농조합법인     한국사회적기업 진흥원 선정
한길코리아     한국사회적기업 진흥원 선정
새림종합환경     한국사회적기업 진흥원 선정
전통예술단혼     한국사회적기업 진흥원 선정
이든밥상     한국사회적기업 진흥원 선정
새로이건축     한국사회적기업 진흥원 선정
흙사랑영농조합법인     한국사회적기업 진흥원 선정
크린영동     한국사회적기업 진흥원 선정
초록마당영농조합법인     한국사회적기업 진흥원 선정
다사리장애인자립생활센터사업단사람플러스     한국사회적기업 진흥원 선정
한드미영농조합법인     한국사회적기업 진흥원 선정
청화팜     한국사회적기업 진흥원 선정
이엠에코     한국사회적기업 진흥원 선정
교육사회적기업포인트     한국사회적기업 진흥원 선정
무형문화재제47호김병호류가야금산조보존회     한국사회적기업 진흥원 선정
예담은규방문화원     한국사회적기업 진흥원 선정
쿠키아     한국사회적기업 진흥원 선정
국악예술단고창     한국사회적기업 진흥원 선정
갈릴리     한국사회적기업 진흥원 선정
자연스레     한국사회적기업 진흥원 선정
고신대학교사회적기업카페에또와영도구청점     한국사회적기업 진흥원 선정
예선     한국사회적기업 진흥원 선정
우리환경개발     한국사회적기업 진흥원 선정
다래월드     한국사회적기업 진흥원 선정
디엔에스사회적기업     한국사회적기업 진흥원 선정
하얀세상     한국사회적기업 진흥원 선정
농업회사법인지리산구례공동체     한국사회적기업 진흥원 선정
다사랑산모케어     한국사회적기업 진흥원 선정
반디숲     한국사회적기업 진흥원 선정
샐러드     한국사회적기업 진흥원 선정
피플앤컴     한국사회적기업 진흥원 선정
프라임서비스     한국사회적기업 진흥원 선정
한국여성인력개발원카페봉봉사업단     한국사회적기업 진흥원 선정
빛소리오페라단     한국사회적기업 진흥원 선정
유한회사클린환경     한국사회적기업 진흥원 선정
유한회사자연향     한국사회적기업 진흥원 선정
경민들레     한국사회적기업 진흥원 선정
퐁당퐁당     한국사회적기업 진흥원 선정
리맨     한국사회적기업 진흥원 선정
한국중독연구재단청미래     한국사회적기업 진흥원 선정
공공프리즘     한국사회적기업 진흥원 선정
유한회사에스씨환경     한국사회적기업 진흥원 선정
나눔     한국사회적기업 진흥원 선정
두레건축     한국사회적기업 진흥원 선정
유한회사정선재활용센타     한국사회적기업 진흥원 선정
여성과나눔보육콜센터     한국사회적기업 진흥원 선정
일터     한국사회적기업 진흥원 선정
미래를여는사람들     한국사회적기업 진흥원 선정
참살이     한국사회적기업 진흥원 선정
행복을나누는도시락     한국사회적기업 진흥원 선정
도농살림     한국사회적기업 진흥원 선정
가까이한마음사회서비스센터     한국사회적기업 진흥원 선정
협동조합위드     한국사회적기업 진흥원 선정
빛고을건설     한국사회적기업 진흥원 선정
희망자원     한국사회적기업 진흥원 선정
사회적기업아시아     한국사회적기업 진흥원 선정
농업회사법인행복한밥상     한국사회적기업 진흥원 선정
어울림     한국사회적기업 진흥원 선정
삶과환경     한국사회적기업 진흥원 선정
유한회사영동군사회서비스센터     한국사회적기업 진흥원 선정
월화수크린     한국사회적기업 진흥원 선정
아산YMCA아가야     한국사회적기업 진흥원 선정
한국기독교청년회전국연맹     한국사회적기업 진흥원 선정
사랑의자전거     한국사회적기업 진흥원 선정
우리사랑복지원     한국사회적기업 진흥원 선정
희망나눔플러스     한국사회적기업 진흥원 선정
씨토크커뮤니케이션즈     한국사회적기업 진흥원 선정
한국이에이피협회     한국사회적기업 진흥원 선정
행복을나누는도시락부산해운대점     한국사회적기업 진흥원 선정
행복한일터     한국사회적기업 진흥원 선정
아이티그린     한국사회적기업 진흥원 선정
나눔과돌봄     한국사회적기업 진흥원 선정
에이스푸드     한국사회적기업 진흥원 선정
광주YMCA광주아가야     한국사회적기업 진흥원 선정
농촌복지센터     한국사회적기업 진흥원 선정
목포YWCA희망지원센터     한국사회적기업 진흥원 선정
함께하는세상     한국사회적기업 진흥원 선정
진천주거복지센터두꺼비하우징     한국사회적기업 진흥원 선정
한국장애인정보화협회오에이사업장     한국사회적기업 진흥원 선정
천안시꽃밭     한국사회적기업 진흥원 선정
추억을파는극장     한국사회적기업 진흥원 선정
유한회사클린월드     한국사회적기업 진흥원 선정
민들레누비     한국사회적기업 진흥원 선정
에듀크리안트     한국사회적기업 진흥원 선정
에코바이오     한국사회적기업 진흥원 선정
인스케어코어     한국사회적기업 진흥원 선정
엘림엔터테인먼트     한국사회적기업 진흥원 선정
민들레의료복지사회적협동조합     한국사회적기업 진흥원 선정
이에스라이프     한국사회적기업 진흥원 선정
다솜이재단     한국사회적기업 진흥원 선정
일렉콤     한국사회적기업 진흥원 선정
거창돌봄지원센터     한국사회적기업 진흥원 선정
청소사랑     한국사회적기업 진흥원 선정
커뮤니티디자인연구소     한국사회적기업 진흥원 선정
사회복지법인영산     한국사회적기업 진흥원 선정
성동돌봄센터     한국사회적기업 진흥원 선정
이오에스물류     한국사회적기업 진흥원 선정
창원늘푸른사람들협동조합     한국사회적기업 진흥원 선정
가경사회서비스지원센터     한국사회적기업 진흥원 선정
우리동네     한국사회적기업 진흥원 선정
다산명가농업회사법인     한국사회적기업 진흥원 선정
비엠씨     한국사회적기업 진흥원 선정
사회적협동조합도우누리     한국사회적기업 진흥원 선정
리블랭크     한국사회적기업 진흥원 선정
트래블러스맵     한국사회적기업 진흥원 선정
아주건강한속삭임     한국사회적기업 진흥원 선정
사회복지법인한빛재단효정     한국사회적기업 진흥원 선정
한국장애인자립협회     한국사회적기업 진흥원 선정
유한회사에스인제건설     한국사회적기업 진흥원 선정
김해늘푸른사람들     한국사회적기업 진흥원 선정
