㈜크린서비스청
사회복지법인한국청각장애인복지회청음공방
(주)대인인더스트리
온디자인 주식회사
(사)문화프로덕션도모
유한회사 천향네이처
해피푸드 주식회사
사단법인 에코누리
사회적기업 희망나눔
미디어센터내일
사단법인 색동회 대구지부
주식회사 늘푸르미
(주)포스코휴먼스
(주)드림앤해피워크
(YMCA)마을과 아이들
엠마우스일터
(주)나우시스템
(사)문화콘텐츠개발원 부산지원
참조은다문화주식회사
미래경제교육연구소
주식회사세림비엠씨
주식회사베어베터(bearbetter)
(주)우리환경개발
(주)정다운
주식회사전통도깨비
주식회사새벽
(유) 사람과사람
제이피썸주식회사
유한회사함께하는사람들
농업회사법인 유기농비건 주식회사
주식회사이론친구들
주식회사 나눔커뮤니케이션
주식회사 넝쿨
옥천살림협동조합
사회복지법인 전석복지재단 옥천군장애인보호작업장
사)농어촌정보화전남협회
사단법인한걸음더
(유)사회적기업 유비에코
주식회사휴먼에듀피아
(주)행복담은네모
인천 자바르떼
청소년건강활동진흥재단
실버인재센터협동조합
(주)두비컴뮤니케이션
주식회사놀이나무
(주)비지팅엔젤스코리아
사회복지법인하상복지재단도서출판하상점자
서울프린지네트워크
문화로놀이짱
웹와치주식회사
사단법인 여성자원금고 행복을파는장사꾼
사단법인 한국장애인문화인쇄협회
(사)한국과학기술캠프협회 인천분사무소
(사)한국근로장애인진흥회
주식회사 크린웰
(주)송도에스이
(주)크린인천
주식회사계양구재활용센타
주식회사우렁각시매직케어
(사)광명심포니오케스트라
신나는문화학교(자바르떼jobarte)
(주)고려진공안전
(주)더올가
사회복지법인 교남재단 교남어유지동산
주식회사 청코리아
원주푸드협동조합
부산자연체험교육단체자연애친구
주식회사 태현에프앤에스
사단법인 함께하는 여성
다드림카페2호점
사회적협동조합태화루예술단
주식회사 희망울타리
대구현대음악 오케스트라
(사)한지나라공예문화협회
꿈꾸는씨어터㈜
주식회사 경주고택
(주)샵포스쿨
(주)클린시티
사회적협동조합 행복더하기
사단법인희망의러브하우스
주식회사 키움
(주)비전
농업회사법인주식회사소백산자락길
소백로컬푸드협동조합
주식회사휴먼월드
부산서점협동조합
주식회사문화락
주식회사사회복지동행
주식회사에코T앤L
주식회사커피창고
주식회사 세연
와이팜영농조합법인
사단법인 이친구사랑나누기
(주)라마당
주식회사 한사랑
(주)초림환경
농업회사법인주식회사나물사랑
사단법인건강나눔
(주)필건축인테리어
강원남부주민(주)
(주)에코월드
(주)대림환경
(주)동그라미사회서비스지원센터
주식회사희망드림
유한회사 예종
유한회사 행복한가게
(주)나눔과돌봄사회서비스지원센터
광주아가마지(주)
휴먼리소스유한회사
주식회사21세기디에스
주식회사잇다
사단법인공연제작엑터스토리
사단법인한울림
(사)중부권생태공동체
주식회사에듀소
㈜엠아이비
아이부키 주식회사
(주)세진플러스
주식회사컴트리
(주)안테나
주식회사 장남
(주)청앤미
스마일시스템주식회사
주식회사씨네아트영상
주식회사흙마을
(주)에코그린
주식회사행복나눔
농업회사법인 유한회사 아리울현푸드
장수친환경영농조합법인
(주)애니설리반학교
㈜해올
백석올미영농조합법인
영농조합법인천안시농특산물유통사업단
소담제주영농조합법인
주식회사 디엘에스(DLS Co. Ltd)
다울사회적협동조합
수피아사회적협동조합
주식회사 당진돌봄사회서비스센터
(주)위니온
청주가농영농조합법인
(주)자연인에프앤씨
커뮤니티워크
주식회사대유기업
사회적협동조합 푸른하늘
주식회사초의차
주식회사 엔분의일
(주)하이이지스
주식회사온케어구리
(주) 나누리식품
(주)크린케어
(주)행복한세상
주식회사 나눔하우징
(주)극단민들레
사랑의일터
에듀케스트라
벼리마을(안양시장애인보호작업장)
(주)친환경상품지원센터
청평문화예술학교
(사)울산광역시지체장애인협회 북구장애인보호작업장
주식회사내츄럴엔
(사회복지법인)희망세상보호작업장
더고운사회적협동조합
청초롬유통지원센터
문화포럼나니레
(재단법인)부산행복한학교재단
(주)에코시티서울
(주)디자인마이러브
씨에스씨푸드 주식회사
뉴시니어라이프
언니네텃밭여성농민생산자협동조합
사회복지법인 엔젤스헤이븐 누야하우스
주식회사청밀
사회복지법인 유린보은동산 원광보호작업장
유한회사 열린사회서비스센터
작은영화관사회적협동조합
(주)더좋은자전거
대주환경주식회사
주식회사그린엔젤스
주식회사나그네다문화센터
주식회사 오피스배재
주식회사인아트
(주)엘나인
어울림아카데미(주)
사단법인 에듀펀플러스
사회적협동조합전주도우누리
협동조합온리
아산제터먹이사회적협동조합
주식회사움직임예술원문화마루
(주)제주이어도돌봄센터
유한회사 아리울수산
(주)뉴그린존
부산소비자생활협동조합
(주)다소니
사단법인배리어프리영화위원회
(주)컬처앤유
네모클린사회적협동조합
협동조합 청솔주거복지센터
주식회사희디자인
유한회사지음
교육협동조합마을학교
유한회사순창올크린
㈜코리아에코21
풀담문화공동체협동조합
영농조합법인한국재활승마교육센터
(주)행복한원덕
주식회사만나푸드빌
(주)늘푸른세상
갓피플주식회사
사회적협동조합드림위드앙상블
세움주식회사
주식회사바오
주식회사비알인포텍
사천시친환경생산자영농조합
유한회사함께걷는발달연구소
진주우리먹거리협동조합진주텃밭
(주)스마트인디지털
한국산재장애인협회(주)
흙사랑영농조합법인
(주)아이어스
청소박사협동조합
레드리본사회적협동조합(빅핸즈)
주식회사아이티비
(주)스마트소셜
(주)제니엘플러스
놀자엔터테인먼트 협동조합
사단법인 두리하나다울
사회적협동조합공감과연대
자리주식회사(ZariCorp)
(주)커뮤니케이션우디
강원고령자사회적협동조합
상도문영농조합법인/농촌전통테마떡방앗간
유한회사 나눔이노스
자연누리숲학교협동조합
(주)아쿠아에어닥터
파로호느릅마을영농조합
예송장애인가족협회
유시스커뮤니케이션
장터사회적협동조합
주식회사 인피스
사회적협동조합용인도우누리
(주)에너지팜
유한회사 행복한동행
창원돌봄센터협동조합
(주)삼성조경
주식회사 웰컴즈
(주)아름도자기
농업회사법인햇님원(주)
사단법인 백제문화원
(주)미성씨앤씨
(주)네오누리콤
사단법인 하나복지회
주식회사 가온아이피엠
(주)강원으로
주식회사노리소리강원두레
성남시민버스주식회사
(주)늘빛
주식회사도우누리안양돌봄센터
주식회사희민개발
(유) 쓰임업
농업회사법인주식회사윤푸드
주식회사대가야체험캠프
㈜엔젤플라워
코어피앤씨㈜
루트머지 주식회사
비엔피협동조합
주식회사기장사람들
주식회사 사이드캣
(주)오티스타
메모리플랜트 주식회사
(사단법인)한국장애인유권자연맹인쇄사업부
사회복지법인 동향원 동원직업재활원
주식회사다이스
주식회사 보성자원
농업회사법인 주식회사 정민서
사단법인음악만들기앙상블
(주)초록샘
주식회사나눔피엔씨
주식회사무지개공방
주식회사해피트리
사단법인 경상남도장애청소년문화교육진흥센터
(주)한글피움
주식회사에코맘의산골이유식농업회사법인
건화기업(주)
협동조합농부장터
목원스마트스쿨사회적협동조합
(주)복사꽃사람들
사단법인 한국스포츠컨설팅협회
열린문화공동체딱
(주)오요리아시아
(주)케이디텍
농업회사법인주식회사선재전통식품
삼공사공안테나숍(주)
성림영농조합법인
에코베타니아주식회사
유한회사바늘쟁이
(주)만선영어조합법인
사임당푸드(영)
전주의료복지사회적협동조합
주식회사 천군만마
포동청년회영농조합법인
(주)새로이크린
(주)부모사랑노인복지센터
주식회사월메이드
착한엄마
(주)스카이배너
세종아이콘주식회사
(주)하얀나라
㈜크린서비스청
주식회사 뉴크린아트
함께사는마을 ㈜
주식회사어울푸름
합자회사에스엠에코
사회복지법인삼덕재단홍천군장애인근로작업장
희망을여는 사람들 두드림교복센터
(사단)인코리안심포니오케스트라
농업회사법인(주)올빛
유한회사다일
(재)대구행복한학교재단
(사) 한국지체장애인협회 달성군장애인재활자립작업장
영주시다문화희망공동체
(주)사랑의집수리망치와벽돌
사)장애인생산품판매지원협회
사회적협동조합홀더
세상에서가장아름다운나무 (다문화마켓)
산영영농조합법인(사무실)
사단법인 마당
(유)보은건설
주식회사 건강카페
㈜에이스잡
사단법인글로벌투게더음성
주식회사송암식품
(주)단양지크린
(주)크린충주
더불어(주)
일촌나눔하우징주식회사
주식회사위누
주식회사 코리아헤리티지센터
한국장애인국제예술단
학교환경개선지원센터
(사)장애인노동진흥회
주식회사 미추디자인
주식회사 비비컴퍼니
사단법인 아리수
은빛둥지
(유)해피클린
주식회사 해피브레드
사단법인 울진숲길
주식회사 니스
유한회사 금산주거복지센터
바이로컬 주식회사
주식회사현장사람들
사회복지법인 서울삼성원 삼성떡프린스
(주)레드스톤시스템
재단법인 행복한학교재단
주식회사 두성
사회복지법인 양혜원 양혜근로작업장
(주)두성시스템
(사)공간다락
주식회사 두루행복
㈜꿈이있는일터
주식회사이오에스
(주)행복도시락성남점
(사)울산광역시지체장애인협회 신정장애인보호작업장
(유한)거창늘푸른사람들
사단법인 아트챔버오케스트라
야은예절교육원
㈜유니월드
아미스 주식회사
사단법인문화진흥협회
사단법인 타악연희원아퀴
두메산골영농조합법인
(주)송지
사회복지법인 동안복지재단 동안우리복지센터
유한회사 다솜도시락
사단법인와우책문화예술센터
사단법인한국장애인문인복지후원회(본점)
평택돌봄사회서비스센터주식회사
수원의료복지사회적협동조합
사회복지법인로뎀복지재단로뎀직업재활센터
(사단법인)담쟁이
미디토리협동조합
(주)청소하는마을
주식회사 나눔크로바
생드르영농조합법인
(사)예술나눔
주식회사터치포굿
사회적협동조합인사랑케어
사단법인늘푸름늘푸름보호작업장
주식회사로운
시흥희망의료복지사회적협동조합
송학푸드(주)
(주)기락
사회적협동조합양지돌봄
주식회사 행복드림스
유한회사 통영늘푸른사람들
김해YMCA 아시아문화센터
사단법인문화창작집단공터다
(영농조합법인)나눔과섬김
(유)가온에스이
주식회사 드림앤첼린지
㈜희망하우징
주식회사피플크린
사회복지법인 구세군복지재단 구세군장애인재활작업장
(주)중원기업
(주)나누리
주식회사어울락
청송친환경(영농조합법인)
㈜사과나무
사단법인 광주광역시북구 장애인복지회 광주북구장애인직업재활센터
사회복지법인 송광재단 송광행복타운
농업회사법인 전북광역로컬푸드 주식회사
주식회사 서정
사회복지법인 정혜원 에코소랑
(주)공감만세
홍성유기농영농조합법인
㈜즐거운밥상
하나환경주식회사
우리아이친환경주식회사
한국복지방송(주)
(주)동춘서커스진흥원
(사)정가악회
주식회사극단아리랑
(사)대안영상문화발전소아이공
주식회사나눔환경
(주)무지개자활공동체
(주)워킹맘
산머루마을영농조합법인
(유)대산환경[사업서비스업]
유한회사아리울명가자연더하기
완주로컬푸드영농조합법인 건강한밥상
(사)꼭두
사단법인전북예술문화원
(사)전통문화마을
(사)교동아트
(유한)타밀
